Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
218,Hiranandani Meadows-Mayflower,300.0,Thane,Thane,October,Q6,17-Oct-21,neutral,Weekend,Self,repeat,4000.0,11945.4
219,Chaurang Terrace,100.0,East,Phursungi,October,Q6,19-Oct-21,dull,Weekend,nobroker,repeat,1000.0,2259.0
224,S3 Lifestyle apartment,200.0,West,Pimple Saudagar,October,Q6,21-Oct-21,neutral,Weekday,Self,repeat,0.0,2601.0
225,Capitol Towers,200.0,West,Wakad,October,Q6,22-Oct-21,dull,Weekday,,repeat,500.0,1266.0
227,Megapolis-Sunway,1100.0,West,Hinjewadi,October,Q6,24-Oct-21,Neutral,Weekend,Self,repeat,5000.0,7764.0
228,Megapolis-Sparklet,1100.0,West,Hinjewadi,October,Q6,24-Oct-21,Dull,Weekend,Self,repeat,5000.0,5163.6
232,Anant Shilp,200.0,West,Bavdhan,October,Q6,28-Oct-21,excited,Weekday,Self,repeat,0.0,7884.0
233,TinselTown,200.0,West,Bavdhan,October,Q6,28-Oct-21,excited,Weekday,Self,repeat,500.0,7628.4
234,Comfort Zone,500.0,West,Baner,October,Q6,29-Oct-21,neutral,Weekday,Self,repeat,0.0,6124.8
235,Iris,108.0,West,Baner,October,Q6,29-Oct-21,dull,Weekday,Self,repeat,1500.0,3390.0
236,Blue Ridge-C tower,650.0,West,Hinjewadi,October,Q6,30-Oct-21,neutral,Weekday,Nobroker,repeat,3500.0,4993.8
237,KUL Echoluch,700.0,West,Hinjewadi,October,Q6,30-Oct-21,dull,Weekend,mygate,repeat,5000.0,2058.0
241,Rohit walimbe Online,0.0,West,Baner,October,Q6,31-Oct-21,,Weekend,Self,repeat,0.0,4800.0
238,Life Republic-R3,600.0,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,3000.0,2683.8
239,Life Republic-R4,800.0,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,5000.0,3661.8
240,Life Republic-R7,800.0,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,2500.0,4175.4
242,Aditya Garden City,1012.0,West,Warje,November,Q6,1-Nov-21,neutral,,Self,repeat,1000.0,735.0
243,Ishan Sanskruti,250.0,West,Warje,November,Q6,1-Nov-21,excited,Weekday,Self,repeat,0.0,5719.8
244,IVY Estate,600.0,North,Wagholi,November,Q6,2-Nov-21,excited,Weekday,nobroker,repeat,2500.0,7715.4
248,Blue Ridge-Unit A,800.0,West,Hinjewadi,November,Q6,6-Nov-21,neutral,Weekday,self,repeat,3000.0,4963.2
249,Karishma Soc,400.0,Central,Kothrud,November,Q6,7-Nov-21,excited,Weekend,self,repeat,2000.0,9960.0
253,State Bank Nagar-,300.0,Central,Bibwewadi,November,Q6,10-Nov-21,dull,Weekday,nobroker,repeat,3000.0,2172.0
254,Sun Satellite,181.0,Central,Sinhagad road,November,Q6,11-Nov-21,excited,Weekday,self,repeat,0.0,8160.0
255,Sun Orbit,160.0,Central,Sinhagad road,November,Q6,11-Nov-21,excited,Weekday,self,repeat,0.0,8820.0
256,Pristine Fontana,300.0,West,Bavdhan,November,Q6,12-Nov-21,excited,Weekday,self,repeat,0.0,9240.0
257,Ambience Antelia,300.0,West,Bavdhan,November,Q6,12-Nov-21,excited,Weekday,self,repeat,0.0,7260.0
261,Sun Universe,700.0,Central,Sinhagad road,November,Q6,14-Nov-21,excited,Weekend,self,repeat,1500.0,18240.0
262,JARVARI,317.0,West,Pimple Saudagar,November,Q6,16-Nov-21,neutral,Weekend,nobroker,repeat,2500.0,4200.0
263,PARK ROYALE,430.0,West,Pimple Saudagar,November,Q6,16-Nov-21,neutral,Weekday,self,repeat,3500.0,6480.0
264,BIARITZ 1,200.0,West,Baner,November,Q6,17-Nov-21,neutral,Weekday,self,repeat,1000.0,4693.8
265,NEA,200.0,West,Sus,November,Q6,17-Nov-21,neutral,Weekday,nobroker,repeat,1500.0,2731.2
267,Sarthi Sinclair,200.0,West,Warje,November,Q6,19-Nov-21,neutral,Weekday,self,repeat,0.0,2787.0
268,Amrutwel,150.0,West,Warje,November,Q6,19-Nov-21,neutral,Weekday,self,repeat,0.0,4346.4
269,Florencia,300.0,West,Wakad,November,Q6,20-Nov-21,excited,Weekday,mygate,repeat,5000.0,7171.2
270,Mont Vert Seville,700.0,West,Wakad,November,Q6,20-Nov-21,excited,Weekend,self,repeat,1500.0,4544.4
273,Sudatta Sankul,300.0,Central,Sinhagad road,November,Q6,24-Nov-21,neutral,Weekday,self,repeat,600.0,2773.8
275,Anant Vaibhav ,150.0,West,Bavdhan,November,Q6,26-Nov-21,neutral,Weekday,self,repeat,0.0,2322.6
276,Puraniks Abitante,450.0,West,Bavdhan,November,Q6,26-Nov-21,neutral,,self,repeat,1500.0,3042.0
277,Vardhamanpura,340.0,Central,Bibwewadi,November,Q6,27-Nov-21,dull,Weekday,mygate,repeat,5000.0,657.0
279,Pride Aashiyana,450.0,North,Dhanori,November,Q6,28-Nov-21,excited,Weekend,mygate,repeat,5000.0,12600.0
280,Goodwill 24 CHS,250.0,North,Dhanori,November,Q6,28-Nov-21,neutral,Weekend,nobroker,repeat,2500.0,4200.0
281,Aditya Garden City,1200.0,West,Warje,December,Q6,4-Dec-21,neutral,Weekend,self,repeat,1000.0,4570.8
282,Royal Rahadki Ph1,500.0,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,5000.0,9000.0
283,Rose Valley,300.0,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,2000.0,15600.0
285,Armada,250.0,West,Wakad,December,Q6,9-Dec-21,neutral,Weekday,nobroker,repeat,2500.0,4459.2
292,Shivnagri,200.0,Central,Kothrud,December,Q6,14-Dec-21,excited,Weekend,nobroker,repeat,1500.0,7719.6
293,Sarita Vihar,170.0,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0.0,3623.4
294,Suvarna Rekha Shree,170.0,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0.0,2837.4
295,Savannah Hills,100.0,West,Bavdhan,December,Q6,16-Dec-21,neutral,Weekday,Self,repeat,0.0,3192.6
296,Shweta Soc,100.0,Central,Sinhagad road,December,Q6,17-Dec-21,,Weekday,self,repeat,0.0,7200.0
303,Rose County,380.0,West,Pimple Saudagar,December,Q6,21-December,,Weekend,,repeat,2500.0,6505.2
304,Megapolis Symphony,380.0,West,Hinjewadi,December,Q6,22-December,,Weekday,,repeat,2500.0,2280.0
305,SHONEST,300.0,West,Wakad,December,Q6,23-December,,Weekday,,repeat,2000.0,3900.0
306,SILVER SKY,300.0,West,Wakad,December,Q6,23-December,,Weekday,,repeat,3000.0,13500.0
307,Life Republic- R7,800.0,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,4000.0,4800.0
308,Life Republic- R4,800.0,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,5000.0,5400.0
310,Rohan Mithila-A-Y,200.0,North,Vimannagar,December,Q6,25-December,,Weekend,,repeat,1000.0,972.6
311,Alcon Renaissant,200.0,North,Kharadi,December,Q6,25-December,,Weekend,,repeat,1000.0,7801.2
312,Nyati Empire,400.0,North,Kharadi,December,Q6,26-December,,Weekend,,repeat,3000.0,10810.2
314,Jade Residency,300.0,North,Wagholi,December,Q6,28-December,,Weekend,,repeat,2000.0,7705.2
317,Ganga Constella,400.0,North,Kharadi,December,Q6,29-December,,Weekday,,repeat,5000.0,4800.0
320,Aditya Garden City,1000.0,Central,Warje,December,Q6,1-January,,Weekday,,repeat,1000.0,8449.2
322,Nyati Equatorial,300.0,West,Bavdhan,JANUARY,Q7,2-January,,Weekend,,repeat,3000.0,12900.0
323,Opus 77,200.0,West,Wakad,JANUARY,Q7,4-January,,Weekend,,repeat,2000.0,6624.6
324,Malpani green,200.0,West,Wakad,JANUARY,Q7,4-January,,Weekday,,repeat,1500.0,6712.2
325,Loksangam,200.0,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,2000.0,1800.0
326,Shanti Niketan,200.0,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,3000.0,1626.0
327,7 Avenue,200.0,West,Balewadi,JANUARY,Q7,6-January,,Weekday,,repeat,2500.0,5180.4
328,Skyline,300.0,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,2000.0,6000.0
329,Windwards,300.0,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,3000.0,5540.4
330,Mont vert tropez,300.0,West,Wakad,JANUARY,Q7,8-January,,Weekday,,repeat,1500.0,6000.0
331,Sonigara Kesar,300.0,West,Wakad,JANUARY,Q7,8-January,,Weekend,,repeat,3000.0,9000.0
332,Kunal Icon,400.0,West,Pimple Saudagar,JANUARY,Q7,9-January,,Weekend,,repeat,4130.0,12000.0
333,QUEES PARK,200.0,West,PIMPLE SAUDAGAR,,,,,,,new,,0.0
334,THE CREST,260.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
335,AAKASHGANGA,285.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
336,KUNAL ICON,750.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
337,SONIGARA,650.0,West,WAKAD,,,,,,,new,,
338,PROLIFE,178.0,West,WAKAD,,,,,,,new,,
339,MONTVERT-TROPEZ,450.0,West,WAKAD,,,,,,,new,,
340,MIRCHANDANI PALMS,350.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
341,LAXMI AANGAL,160.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
342,SHRI SAI VISHWA ,310.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
343,LAKSHDEEP,235.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
344,HORIZON,320.0,West,WAKAD,,,,,,,new,,
345,PRIME PLUS,350.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
346,SUNSCREAT,122.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
347,SHRI GAMESH  APT.,285.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
348,ALCOVE,290.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
349,RADHANAGARI,310.0,West,PIMPLE SAUDAGAR,,,,,,,new,,
350,KALPATARU,310.0,West,WAKAD,,,,,,,new,,
351,SKYLINE,350.0,West,WAKAD,,,,,,,new,,
352,WINDWARDS,300.0,West,WAKAD,,,,,,,new,,
353,PALASH PLUS,115.0,West,WAKAD,,,,,,,new,,
354,LATITUTE,280.0,West,WAKAD,,,,,,,new,,
355,MALPANI GREENS,300.0,West,WAKAD,,,,,,,new,,
356,OMEGA,280.0,West,WAKAD,,,,,,,new,,
357,PARKWAYS,280.0,West,WAKAD,,,,,,,new,,
358,"SIDHARTH TOWER 1,2,3",370.0,West,AUNDH,,,,,,,new,,
359,ATHSHRI ,350.0,West,BANER,,,,,,,new,,
360,CRISTAL GARDEN ,350.0,West,BANER ,,,,,,,new,,
361,BLOSSOM SPRINGS,320.0,West,BANER ,,,,,,,new,,
362,NYATI,310.0,West,BAVDHAN,,,,,,,new,,
363,Mahesh Paradise,290.0,West,AUNDH,,,,,,,new,,
364,KUMAR,290.0,West,AUNDH,,,,,,,new,,
365,CLARION PARK,210.0,West,AUNDH,,,,,,,new,,
366,SURBHI PARK,200.0,West,AUNDH,,,,,,,new,,
367,PINNAC,200.0,West,AUNDH,,,,,,,new,,
368,NIKAS SKIES,150.0,West,BANER ,,,,,,,new,,
369,SHREEJEE PARADIES,150.0,West,AUNDH,,,,,,,new,,
370,HIGHCLASS,120.0,West,BAVDHAN,,,,,,,new,,
371,clover Aropolice,280.0,East,VIMAN NAGR,,,,,,,new,,
372,GANGA CONSTELLA,750.0,East,KHARADI,,,,,,,new,,
373,KONARK CAMPS,550.0,East,VIMAN NAGR,,,,,,,new,,
374,LUNKAD GOLD COURCE,290.0,East,VIMAN NAGR,,,,,,,new,,
375,GERA EMPROD,410.0,East,kharadi,,,,,,,new,,
376,ROSE AND LOUTAS,450.0,East,VIMAN NAGR,,,,,,,new,,
377,LUNKAD MAZON,280.0,East,VIMAN NAGR,,,,,,,new,,
378,MOUNTS GLORY,330.0,East,KHARADI,,,,,,,new,,
380,GULMOHAR Parkviews,240.0,East,KHARADI,,,,,,,new,,
381,GERA NORTH,220.0,East,KHARADI,,,,,,,new,,
382,GANGA NOBLE,211.0,East,VIMAN NAGR,,,,,,,new,,
383,DECCAN GOLD,450.0,East,KHARADI,,,,,,,new,,
384,LUNKAD QUEESLAND,180.0,East,VIMAN NAGR,,,,,,,new,,
385,URBAN NIRVAN,180.0,East,KHARADI,,,,,,,new,,
386,LALVANI VASTU,132.0,East,VIMAN NAGR,,,,,,,new,,
387,MARVAL ENGIME,110.0,East,KHARADI,,,,,,,new,,
388,Blue Berry,100.0,East,kharadi,,,,,,,new,,
389,KUMAR PRIMROSE,94.0,East,KHARADI,,,,,,,new,,
390,SATIC BRICS,90.0,East,KHARADI,,,,,,,new,,
391,Langtons,290.0,East,kharadi,,,,,,,new,,
392,LUNKAD COLONNADE,75.0,East,VIMAN NAGR,,,,,,,new,,
393,GULMOHAR Orchid,420.0,East,KHARADI,,,,,,,new,,
394,konak medoes,168.0,East,WAGHOLI,,,,,,,new,,
395,solacia ph2,327.0,East,WAGHOLI,,,,,,,new,,
396,jade residency,310.0,East,WAGHOLI,,,,,,,new,,
397,sai sasanskriti,188.0,East,WAGHOLI,,,,,,,new,,
398,savaana CHS,310.0,East,WAGHOLI,,,,,,,new,,
399,oxy ultra CHS,260.0,East,WAGHOLI,,,,,,,new,,
401,konark oasis,105.0,East,WAGHOLI,,,,,,,new,,
402,Bellevie CHS,280.0,East,WAGHOLI,,,,,,,new,,
403,Konark orchid,500.0,East,WAGHOLI,,,,,,,new,,
404,konark exotica,240.0,East,WAGHOLI,,,,,,,new,,
405,GKG pavarang,280.0,East,WAGHOLI,,,,,,,new,,
406,blessing,135.0,East,WAGHOLI,,,,,,,new,,
407,Aura County,290.0,East,WAGHOLI,,,,,,,new,,
