Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
239,Goodwill 24 CHS,250,North,Dhanori,November,Q6,28-Nov-21,neutral,Weekend,nobroker,repeat,2500,4200
240,Rahul Park C,100,Central,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,1919.4
241,Royal Rahadki Ph1,500,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,5000,9000
242,Rose Valley,300,West,Pimple Saudagar,December,Q6,5-Dec-21,excited,Weekend,self,repeat,2000,15600
243,Majestic aqua,450,East,Phursungi,December,Q6,8-Dec-21,dull,Weekend,nobroker,repeat,2500,2904.6
244,Armada,250,West,Wakad,December,Q6,9-Dec-21,neutral,Weekday,nobroker,repeat,2500,4459.2
245,Siddhivinayak Manas,200,South,Dhayari,December,Q6,10-Dec-21,neutral,Weekday,nobroker,repeat,1500,3636.6
246,Granduere,250,South,Dhayari,December,Q6,10-Dec-21,neutral,Weekday,nobroker,repeat,1700,5696.4
247,Godrej Infinity,1200,East,Keshavnagar,December,Q6,11-Dec-21,excited,Weekday,self,repeat,2500,7692.6
248,Vihana,200,East,Keshavnagar,December,Q6,11-Dec-21,neutral,Weekend,self,repeat,1500,5245.2
249,Amanora,2000,East,Hadapsar,December,Q6,12-Dec-21,excited,Weekend,self,repeat,5900,10957.8
250,Godrej Infinity,1200,East,Keshavnagar,December,Q6,12-Dec-21,excited,Weekend,self,repeat,2500,8861.4
251,Shivnagri,200,Central,Kothrud,December,Q6,14-Dec-21,excited,Weekend,nobroker,repeat,1500,7719.6
252,Sarita Vihar,170,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0,3623.4
253,Suvarna Rekha Shree,170,Central,Sinhagad road,December,Q6,15-Dec-21,excited,Weekday,gorakh dada,repeat,0,2837.4
254,Sun Fantasy,150,South,Ambegaon,December,Q6,17-Dec-21,,Weekday,nobroker,repeat,1500,7200
255,Shweta Soc,100,Central,Sinhagad road,December,Q6,17-Dec-21,,Weekday,self,repeat,0,7200
256,Tirupati Campus,200,North,Tingrenagar,December,Q6,18-Dec-21,,Weekday,self,repeat,2000,12000
257,Nyati Environ,200,North,Tingrenagar,December,Q6,18-Dec-21,,Weekend,self,repeat,2000,17076
258,COEP,1000,Central,Shivajinagar,December,Q6,18-December,,Weekend,,repeat,6740,287.4
259,Bhosalenagar,200,Central,Kothrud,December,Q6,19-December,,Weekend,,repeat,0,2839.2
260,Parth Enclave,200,Central,Karvenagar,December,Q6,19-December,,Weekend,,repeat,0,6492
261,Rose County,380,West,Pimple Saudagar,December,Q6,21-December,,Weekend,,repeat,2500,6505.2
262,Megapolis Symphony,380,West,Hinjewadi,December,Q6,22-December,,Weekday,,repeat,2500,2280
263,SHONEST,300,West,Wakad,December,Q6,23-December,,Weekday,,repeat,2000,3900
264,SILVER SKY,300,West,Wakad,December,Q6,23-December,,Weekday,,repeat,3000,13500
265,Life Republic- R7,800,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,4000,4800
266,Life Republic- R4,800,West,Hinjewadi,December,Q6,24-December,,Weekday,,repeat,5000,5400
267,Rohan Mithila- E1-E9,200,North,Vimannagar,December,Q6,25-December,,Weekday,,repeat,0,6026.4
268,Rohan Mithila-A-Y,200,North,Vimannagar,December,Q6,25-December,,Weekend,,repeat,1000,972.6
269,Alcon Renaissant,200,North,Kharadi,December,Q6,25-December,,Weekend,,repeat,1000,7801.2
270,Nyati Empire,400,North,Kharadi,December,Q6,26-December,,Weekend,,repeat,3000,10810.2
271,Forest County,700,North,Kharadi,December,Q6,26-December,,Weekend,,repeat,2000,16164
272,Jade Residency,300,North,Wagholi,December,Q6,28-December,,Weekend,,repeat,2000,7705.2
273,Vella Bita,100,North,Wagholi,December,Q6,28-December,,Weekday,,repeat,3000,5242.2
274,Konark Nagar,300,North,Vimannagar,December,Q6,29-December,,Weekday,,repeat,5000,4800
275,Ganga Constella,400,North,Kharadi,December,Q6,29-December,,Weekday,,repeat,5000,4800
276,Eden Garden,300,North,Vimannagar,December,Q6,30-December,,Weekday,,repeat,3000,2866.2
277,Ganga Nebula,300,North,Vimannagar,December,Q6,30-December,,Weekday,,repeat,2000,3600
278,Kapil Abhijat,250,West,Kothrud,JANUARY,Q7,2-January,,Weekend,,repeat,2500,19200
279,Opus 77,200,West,Wakad,JANUARY,Q7,4-January,,Weekend,,repeat,2000,6624.6
280,Malpani green,200,West,Wakad,JANUARY,Q7,4-January,,Weekday,,repeat,1500,6712.2
281,Loksangam,200,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,2000,1800
282,Shanti Niketan,200,West,Aundh,JANUARY,Q7,5-January,,Weekday,,repeat,3000,1626
283,7 Avenue,200,West,Balewadi,JANUARY,Q7,6-January,,Weekday,,repeat,2500,5180.4
284,Skyline,300,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,2000,6000
285,Windwards,300,West,Wakad,JANUARY,Q7,7-January,,Weekday,,repeat,3000,5540.4
286,Mont vert tropez,300,West,Wakad,JANUARY,Q7,8-January,,Weekday,,repeat,1500,6000
287,Sonigara Kesar,300,West,Wakad,JANUARY,Q7,8-January,,Weekend,,repeat,3000,9000
288,Kunal Icon,400,West,Pimple Saudagar,JANUARY,Q7,9-January,,Weekend,,repeat,4130,12000
289,Puraniks Abitante,450,West,Bavdhan,November,Q6,26-Nov-21,neutral,,self,repeat,1500,3042
290,Saarthi Sinclair,150,Central,Warje,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,4890
291,Regalia Bavdhan,165,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,500,2292
292,Savannah Hills,100,West,Bavdhan,December,Q6,16-Dec-21,neutral,Weekday,Self,repeat,0,3192.6
293,Sarthi Sinclair,200,Central,Warje,November,Q6,19-Nov-21,neutral,Weekday,self,repeat,0,2787
294,Suvarna Park,150,West,Bavdhan,December,Q2,5-Dec-20,excited,WEEKEND,Self,repeat,0,12000
295,TinselTown,200,West,Bavdhan,October,Q6,28-Oct-21,excited,Weekday,Self,repeat,500,7628.4
296,Vaidehi Enclave,70,West,Bavdhan,December,Q2,5-Dec-20,excited,WEEKEND,Self,repeat,0,7800
297,Valle Vista,200,West,Bavdhan,August,Q5,13-Aug-21,excited,Weekday,Self,repeat,0,3930
298,Shriram Soc,200,Central,Warje,August,Q1,2-Aug-20,excited,WEEKEND,Self,repeat,0,9000
299,SUYOG Aura,200,Central,Warje,October,Q6,2-Oct-21,neutral,Weekend,self,repeat,0,2955
300,Tejowalay,300,Central,Warje,October,Q6,3-Oct-21,neutral,Weekend,self,repeat,1000,3083.4
301,Viola,250,Central,Warje,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,500,6000
302,Vallonia,200,West,Bavdhan,January,Q3,19-Jan-21,excited,WEEKEND,Self,repeat,0,3480
